classification,AveragePnL,MedianPnL,TradeCount,WinRate
Extreme Greed,25.418772159436944,0.0,6962,49.008905486929045
Fear,50.047621894017375,0.0,133871,41.51459240612231
Greed,87.8948589207749,0.0,36289,44.647138251260714
Neutral,22.229712656210616,0.0,7141,31.71824674415348
